neighbourhood,room_type,price,number_of_reviews,calculated_host_listings_count,host_type
East Carrollton,Entire home/apt,118.0,101,1,Single-listing Host
St. Claude,Entire home/apt,,82,2,Multi-listing Host
Marigny,Entire home/apt,120.0,134,1,Single-listing Host
St. Claude,Entire home/apt,,76,1,Single-listing Host
Marigny,Hotel room,206.0,64,6,Multi-listing Host
Marigny,Private room,228.0,68,6,Multi-listing Host
St. Claude,Entire home/apt,,6,1,Single-listing Host
Lower Garden District,Entire home/apt,215.0,251,2,Multi-listing Host
Touro,Private room,124.0,182,2,Multi-listing Host
Lake Terrace & Oaks,Entire home/apt,119.0,285,2,Multi-listing Host
Uptown,Entire home/apt,,71,1,Single-listing Host
Central Business District,Private room,,103,10,Multi-listing Host
Central Business District,Entire home/apt,,47,10,Multi-listing Host
Fairgrounds,Entire home/apt,116.0,316,1,Single-listing Host
Treme - Lafitte,Entire home/apt,149.0,453,3,Multi-listing Host
Central City,Entire home/apt,115.0,220,2,Multi-listing Host
Treme - Lafitte,Entire home/apt,77.0,788,1,Single-listing Host
Central City,Entire home/apt,,62,2,Multi-listing Host
Touro,Entire home/apt,131.0,380,1,Single-listing Host
East Carrollton,Entire home/apt,200.0,20,1,Single-listing Host
Mcdonogh,Entire home/apt,132.0,370,3,Multi-listing Host
Lower Garden District,Entire home/apt,200.0,38,1,Single-listing Host
East Riverside,Entire home/apt,79.0,153,4,Multi-listing Host
Mid-City,Private room,85.0,212,1,Single-listing Host
Central City,Private room,35.0,319,2,Multi-listing Host
Treme - Lafitte,Entire home/apt,84.0,455,1,Single-listing Host
Lower Garden District,Entire home/apt,249.0,94,1,Single-listing Host
Marigny,Entire home/apt,159.0,116,1,Single-listing Host
Uptown,Entire home/apt,,69,1,Single-listing Host
St. Roch,Private room,32.0,444,8,Multi-listing Host
Bywater,Entire home/apt,139.0,81,1,Single-listing Host
Bywater,Entire home/apt,44.0,37,5,Multi-listing Host
Bayou St. John,Entire home/apt,103.0,242,1,Single-listing Host
Marigny,Entire home/apt,185.0,252,3,Multi-listing Host
Marigny,Entire home/apt,220.0,265,3,Multi-listing Host
Broadmoor,Entire home/apt,99.0,232,1,Single-listing Host
Central Business District,Entire home/apt,110.0,13,1,Single-listing Host
Treme - Lafitte,Private room,136.0,2,3,Multi-listing Host
Treme - Lafitte,Private room,140.0,4,3,Multi-listing Host
Treme - Lafitte,Entire home/apt,338.0,140,2,Multi-listing Host
Bywater,Entire home/apt,,100,1,Single-listing Host
Black Pearl,Entire home/apt,521.0,16,1,Single-listing Host
St. Claude,Entire home/apt,200.0,181,2,Multi-listing Host
Mid-City,Entire home/apt,45.0,505,3,Multi-listing Host
Mid-City,Entire home/apt,120.0,362,1,Single-listing Host
St. Claude,Entire home/apt,99.0,62,1,Single-listing Host
Seventh Ward,Entire home/apt,,243,1,Single-listing Host
Treme - Lafitte,Entire home/apt,135.0,217,1,Single-listing Host
Mcdonogh,Entire home/apt,100.0,245,1,Single-listing Host
Bayou St. John,Entire home/apt,40.0,48,2,Multi-listing Host
Audubon,Private room,44.0,154,14,Multi-listing Host
Bywater,Entire home/apt,178.0,259,1,Single-listing Host
East Carrollton,Private room,44.0,172,14,Multi-listing Host
East Carrollton,Private room,41.0,37,14,Multi-listing Host
Seventh Ward,Entire home/apt,106.0,117,1,Single-listing Host
Bayou St. John,Entire home/apt,84.0,46,1,Single-listing Host
Touro,Entire home/apt,79.0,61,1,Single-listing Host
Mid-City,Entire home/apt,,63,1,Single-listing Host
Marigny,Entire home/apt,263.0,184,9,Multi-listing Host
East Carrollton,Private room,43.0,124,14,Multi-listing Host
Central City,Entire home/apt,95.0,400,5,Multi-listing Host
Mid-City,Entire home/apt,118.0,165,1,Single-listing Host
St.  Anthony,Private room,64.0,566,3,Multi-listing Host
East Carrollton,Private room,45.0,79,14,Multi-listing Host
Milneburg,Private room,48.0,643,3,Multi-listing Host
West Riverside,Entire home/apt,,5,1,Single-listing Host
Treme - Lafitte,Entire home/apt,175.0,44,4,Multi-listing Host
Bywater,Entire home/apt,275.0,45,2,Multi-listing Host
